dataset,CC(rf),CC(bcts(rf)),ACC(rf),ACC(bcts(rf)),PCC(rf),PCC(bcts(rf)),PACC(rf),PACC(bcts(rf)),EMQ(rf),EMQ(bcts(rf)),FM(rf),FM(bcts(rf)),DyS(rf),DyS(bcts(rf)),MS(rf),MS(bcts(rf)),HDy(rf),HDy(bcts(rf)),KDEyML(rf),KDEyML(bcts(rf)),MLQ(rf),MLQ(bcts(rf)),"QuantCal(rf,3)","QuantCal(bcts(rf),3)","QuantCal(rf,5)","QuantCal(bcts(rf),5)","QuantCal(rf,10)","QuantCal(bcts(rf),10)","QuantCal(lr,3)","QuantCal(bcts(lr),3)","QuantCal(lr,5)","QuantCal(bcts(lr),5)","QuantCal(lr,10)","QuantCal(bcts(lr),10)","QuantCal(knn,3)","QuantCal(bcts(knn),3)","QuantCal(knn,5)","QuantCal(bcts(knn),5)","QuantCal(knn,10)","QuantCal(bcts(knn),10)"
28_optdigits,0.05,0.0299999999999999,0.0163264733503773,0.0123134305617347,0.09924999999999995,0.041579485865171906,0.013078418906342652,0.01018796632206495,0.03573814628669495,0.0071893776076738004,0.0100318846870663,0.0087704316546539,0.007471661758868349,0.00674196223304035,0.0112628332115358,0.0098040309812893,0.0499999999999999,0.03,0.0290739998377446,0.02967006107630625,0.0176837425188537,0.0116071034143259,3.8857805861880484e-16,3.6082248300317592e-16,1.4363510381087965e-15,1.3253287356462806e-15,1.7347234759768069e-15,1.7208456881689926e-15,0.0193306405077876,0.0123744050766822,0.0173977163542188,0.012410292315766,0.0160874875097448,0.01195022012748435,0.0,0.0,0.0,0.0,0.0,0.0
294_satellite_image,0.01,0.01,0.0081432272214817,0.0073814471885211,0.0281,0.017446010524220602,0.00735076331617065,0.0065241478562173,0.0073630788456716,0.00424713090169855,0.0062105632333584,0.005842099384764,0.0048762415813852,0.0048270354417825,0.0058856558128226,0.00582167977551035,0.01,0.01,0.00998771733064255,0.0100019765618439,0.0102226773918154,0.0085460889783182,3.3306690738754696e-16,3.3306690738754696e-16,1.214306433183765e-15,1.214306433183765e-15,1.7347234759768069e-15,1.6653345369377348e-15,0.008513970680361,0.0078554649716687,0.0084692425569086,0.0074900063117867,0.0082502036752117,0.0074900063117995,0.0,0.0,0.0,0.0,0.0,0.0
30_page-blocks,0.05,0.05,0.0189482143500666,0.0183988841043862,0.0835215782828283,0.0800452041394408,0.015428911809726751,0.01522684587123475,0.009990054735011949,0.00998196613609185,0.012648748148506,0.0124651607205995,0.011425817233946,0.01160165370087075,0.0143215646589672,0.0139460724108496,0.05,0.05,0.032006296507003096,0.0315954869361697,0.0214285713966846,0.0198180413763774,4.163336342344337e-16,4.163336342344337e-16,1.4363510381087965e-15,1.4155343563970746e-15,1.7347234759768069e-15,1.7347234759768069e-15,0.0198369759515621,0.0191805419523253,0.01972842149355905,0.0190057053171881,0.0194650669879039,0.018303571428526,0.0,0.0,0.0,0.0,0.0,0.0
312_scene,0.2299999999999999,0.1399999999999999,0.0452221239683343,0.0325926089452072,0.1949999999999999,0.1372667374227376,0.0301436617319892,0.0282861527448886,0.07960577669921914,0.023205226374190098,0.0391932056366845,0.0343770368170969,0.02485515193458605,0.025757623515731,0.0280252518283427,0.02721248545437885,0.06,0.0799999999999999,0.14666340990967536,0.1392170661385596,0.0555565113895674,0.0399830711145533,0.0569999999999997,9.575673587391977e-16,0.0689999999999993,1.5959455978986625e-15,0.063000000000002,4.1563974484404306e-15,0.0503299340132099,0.0348369546503236,0.0502972258916666,0.036599860172446,0.0499167549568645,0.0345781913817309,0.0,0.0,0.0999999999999999,0.0,0.0999999999999999,0.0
375_JapaneseVowels,0.02,0.0199999999999999,0.0110808226548141,0.0097150488820454,0.055300000000000155,0.026965866086686198,0.0093984900038524,0.0080276882817365,0.01398450009197625,0.005080962810578,0.007944584436004,0.0076644420143399,0.00558228314093505,0.0055634535579308,0.0077626336941166,0.0073780748146725,0.0299999999999999,0.0199999999999999,0.0149831749597229,0.019166869432363003,0.0117897587289699,0.0105263157902552,3.6082248300317592e-16,3.6082248300317592e-16,1.214306433183765e-15,1.214306433183765e-15,1.7208456881689926e-15,1.7347234759768069e-15,0.0110950179369612,0.0088494589728823,0.0109096255636203,0.0095680199234698,0.0109670872503763,0.0095366888349752,0.0,0.0,0.0,0.0,0.0,0.0
40733_yeast,0.1999999999999999,0.21,0.0958868074930249,0.0999999999999999,0.21320000000000006,0.2175092657664796,0.0690149119633661,0.069990963736353,0.06020801752861375,0.062371182050070056,0.0812255831775694,0.0832964257056886,0.06523740025324684,0.06894305128125265,0.07168162851525789,0.07614262560777885,0.0799999999999999,0.0799999999999999,0.17425989958352306,0.1677873219051547,0.10005724031322455,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0950567260940109,0.0999999999999999,0.09456476544098315,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999,0.0999999999999999
44_spambase,0.03,0.03,0.0153782224101697,0.0153220571169897,0.0628,0.0447806423450227,0.01408654782373325,0.013570830544483749,0.01629636170338805,0.01193018075883175,0.0151623054770158,0.0155010202695753,0.011835007073082299,0.011988018016408,0.01293863836022385,0.01318318817566955,0.02,0.01,0.021007617017291598,0.02213335173195405,0.0182513342252766,0.0185482895609222,3.6082248300317592e-16,3.8857805861880484e-16,1.3253287356462806e-15,1.3253287356462806e-15,1.7347234759768069e-15,1.7347234759768069e-15,0.015933248528499,0.0157962534387184,0.0148785105711494,0.014764418745949,0.0143736194383063,0.0155381356857494,0.0,0.0,0.0,0.0,0.0,0.0
60_waveform-5000,0.0899999999999999,0.07,0.02955793548071,0.0282164277646085,0.13399999999999995,0.09810756334971105,0.02416418167940275,0.023142620649378602,0.03757538423669575,0.0172333845020559,0.0269669790566931,0.0268777732814833,0.0178219727467797,0.0182147691438288,0.0216789083588775,0.022131735076627,0.03,0.0299999999999999,0.06596656917722504,0.07280641044353889,0.0315385113584949,0.0304347837174178,4.85722573273506e-16,4.85722573273506e-16,1.4988010832439613e-15,1.4710455076283324e-15,2.1926904736346838e-15,2.1926904736346838e-15,0.0294077767203602,0.0289246393318169,0.0292570106967445,0.0286592559482332,0.0285714285714455,0.0284085233893653,0.0,0.0,0.0,0.0,0.0,0.0
679_rmftsa_sleepdata,0.17,0.18,0.0999999999999999,0.110744156495071,0.1925654917463857,0.2230539007669161,0.08458893217319365,0.09539353683054261,0.10985461040393216,0.0943304917557638,0.0957747647119564,0.1034225461831578,0.086149973351271,0.0947707065638322,0.08561734550794109,0.1047398119122257,0.13,0.11,0.124057670384951,0.1090937599859094,0.0999999999999999,0.1087122979295451,0.0999999999999999,0.1000000000000004,0.0999999999999999,0.1000000000000009,0.0999999999999999,0.1000000000000021,0.0999999999999999,0.1458019235768262,0.0999999999999999,0.12985722458001014,0.0999999999999999,0.1146951774340307,0.0999999999999999,0.1,0.0999999999999999,0.1,0.0999999999999999,0.1
abalone,0.12,0.12,0.0450172797268267,0.0444719758836948,0.1568000000000001,0.16014292056246737,0.0369520197374862,0.036929972626546945,0.03344697250680426,0.03325688626208935,0.0450171248158616,0.0444176358529277,0.033629287492701554,0.03357216124821935,0.0358676336057076,0.0358501445185209,0.0399999999999999,0.0399999999999999,0.10725550675505345,0.10627534988152476,0.0475102375649939,0.0497444471192777,1.1587952819525073e-15,1.1171619185290638e-15,1.5959455978986625e-15,1.5959455978986625e-15,4.225786387479502e-15,4.225786387479502e-15,0.0474258460734363,0.046639433400248245,0.04494491475707705,0.0452248772142719,0.0452664869348411,0.0452385295995796,0.0,0.0,0.0,0.0,0.0,0.0
AedesQuinx,0.09,0.09,0.0327845636395822,0.0326718639262934,0.1389,0.130538852298864,0.02805950623168595,0.0279405361219793,0.02650165686428805,0.02531316160182405,0.0327333861593122,0.032673858025754,0.025591009573059348,0.02564656884156045,0.0270622421143965,0.02729563001050515,0.03,0.03,0.08042342216663251,0.08176264268932355,0.0325845808417257,0.0328388583046982,6.245004513516507e-16,6.245004513516507e-16,1.547373340571312e-15,1.547373340571312e-15,2.248201624865942e-15,2.248201624865942e-15,0.0328281719013076,0.0327702458611699,0.0324990145841818,0.0329569815635234,0.0329192997748469,0.0325601083643996,0.0,0.0,0.0,0.0,0.0,0.0
AedesSex,0.01,0.01,0.0070595457335788,0.0070682237246465,0.0201,0.01293356408639265,0.0064541830614688,0.0061569753397754,0.00641382735373135,0.00498734605640315,0.006988720883564,0.0070683079028816,0.0052878983071605,0.0054389869110002,0.00583469185134575,0.0059793324056159995,0.01,0.0099999999999999,0.0085688562291208,0.00924551911804045,0.0076231904157376,0.0076890518214449,3.6082248300317592e-16,3.6082248300317592e-16,1.3114509478384662e-15,1.3253287356462806e-15,1.6930901125533637e-15,1.7208456881689926e-15,0.0068969104337899,0.0072301917725512,0.0071434821413145,0.0070653424758751,0.0071025821183841,0.0071434821412982,0.0,0.0,0.0,0.0,0.0,0.0
ailerons,0.07,0.07,0.027890580339184,0.0276163433618469,0.1212,0.10342355308948911,0.0231385873520359,0.022875650018474,0.02494244767698715,0.01935198160629575,0.0277355539433908,0.0284074139951603,0.01993166873511015,0.0201746540186432,0.0220098596296449,0.022365244481224802,0.03,0.02,0.0634026304274791,0.06594066067147114,0.029250932328209,0.0294507464112453,4.85722573273506e-16,4.718447854656915e-16,1.4710455076283324e-15,1.4710455076283324e-15,2.1371793224034263e-15,2.1371793224034263e-15,0.027945481444181,0.0279741595866666,0.0275209511995982,0.0279843624946064,0.0278606023621534,0.0277041172365538,0.0,0.0,0.0,0.0,0.0,0.0
anuranCalls,0.01,0.01,0.0074172379584327,0.0073988700772984,0.0262000000000001,0.0158485900323009,0.007361737552347,0.006455551143271799,0.0072114287366501,0.0047933177449951,0.0060465288399109,0.0063251977029691,0.0048462534745974,0.0050795118792276,0.005885697625467,0.0058037925049545,0.01,0.01,0.008934908194100349,0.009736386067623,0.0081911313950669,0.0077711416777855,3.6082248300317592e-16,3.6082248300317592e-16,1.3253287356462806e-15,1.214306433183765e-15,1.6653345369377348e-15,1.7208456881689926e-15,0.0074900063117981,0.0074258989257503,0.007344775254297,0.0073157574175629,0.007134907876833,0.0070610387572597,0.0,0.0,0.0,0.0,0.0,0.0
ArabicDigit,0.0099999999999999,0.0099999999999999,0.0054340622929091,0.0054912338736354,0.04270000000000005,0.0122017113383098,0.0074830349988219,0.005175912403722,0.01669915384705835,0.0039630140881678,0.0054089171142363,0.0054912338724972,0.0037962174769639,0.0036060645511433,0.0049668874172185,0.004537843165294099,0.01,2.775557561562892e-17,0.0033374007711095997,0.00073539785379475,0.0074208739141011,0.0075935257317951,3.6082248300317592e-16,3.6082248300317592e-16,1.3253287356462806e-15,1.3253287356462806e-15,1.7208456881689926e-15,1.7347234759768069e-15,0.0053077279832312,0.0056509164342096,0.0053918958379894,0.0053918958379894,0.0053077279832431,0.0053077279832512,0.0,0.0,0.0,0.0,0.0,0.0
balance.1,0.06,0.06,0.0339929733246584,0.0352074717208511,0.0823000000000001,0.0729154507675449,0.0275209576614473,0.0282074811138126,0.01916934705926645,0.01852215632462005,0.0372056266722815,0.0359806815408876,0.017967318564400002,0.0193133216655154,0.02480029742470745,0.02708228431300415,0.02,0.02,0.05289668878128065,0.055922623112224346,0.044444444443728,0.0375000000013197,9.506284648352905e-16,6.938893903907228e-16,1.5890067039947553e-15,1.5959455978986625e-15,2.248201624865942e-15,2.248201624865942e-15,0.0366838636419689,0.0402196802287802,0.0356964320779309,0.0374780806600242,0.0364256024544156,0.036229653743728,0.0,0.0,0.0,0.0,0.0,0.0
balance.3,0.06,0.06,0.0346434683399885,0.0377772682982747,0.0828000000000001,0.0731339617490762,0.026803392515239298,0.02871571954459675,0.0186419988638946,0.017972834912942902,0.037263587155037,0.0399338795378614,0.0177450294786613,0.0193520833691829,0.0239069194485028,0.0274883848045913,0.02,0.02,0.0535295240077091,0.057719254258319405,0.0353867336299471,0.0378568421795479,9.367506770274758e-16,6.938893903907228e-16,1.5820678100908479e-15,1.5820678100908479e-15,2.248201624865942e-15,2.248201624865942e-15,0.0329551518526229,0.0353850773157162,0.033967969883051,0.0350030731407392,0.0316562194627347,0.0340607210626181,0.0,0.0,0.0,0.0,0.0,0.0
